20241002T,5302.2,5445,5193.1,5225.2,320388
20241001T,5455.8,5621.5,5338,5466.4,None
20240930T,5455.8,5621.5,5338,5466.4,353149
20240929T,5580,5624.85,5386.7,5425.75,246607
20240926T,5496,5619.7,5475.05,5552.85,181844
20240925T,5590.05,5599,5405,5483.2,234490
20240924T,5638.75,5689.1,5509.7,5564.35,192041
20240923T,5608.4,5810,5563.75,5632.8,490224
20240922T,5505,5636.4,5440.05,5586.1,350149
20240919T,5498.85,5565,5400,5479.35,332407
20240918T,5550,5625.95,5350.05,5428.35,524106
20240917T,5613,5742,5450,5476.9,738791
20240916T,5314.8,5613.95,5261.15,5559.25,945491
20240915T,5401,5449,5188,5309.25,611407
20240912T,5260,5508.8,5141.1,5333.25,1777052
20240911T,4765.5,5325,4732.55,5165.85,3925607
20240910T,4679.05,4738,4635,4663,283287
20240909T,4651.8,4760,4625,4637.2,197814
20240908T,4688.05,4700.65,4602,4624.1,163770
20240905T,4810,4836,4632,4700.7,247133
20240904T,4949,5048.5,4750,4768.35,523805
20240903T,4836,5000.2,4767,4888.15,515944
20240902T,4809,5050,4780,4839.25,1987030
20240901T,4791.8,4950,4566,4662.65,657515
20240829T,4769,4839.45,4700,4753.8,248130
20240828T,4886,4920,4734.1,4749.95,277831
20240827T,5027.6,5040,4860,4881.6,216970
20240826T,5024.9,5125,4980.05,4995.5,150121
20240825T,5088,5102.25,4986.05,4999.5,205419
20240822T,5019.6,5169.45,4947.45,5054.85,225740
20240821T,5171.4,5218.45,4980.15,5024.3,160627
20240820T,5222,5266.1,5130.1,5154.4,129902
20240819T,5279,5380,5121,5198.25,289724
20240818T,5130.6,5330,5130.6,5236.15,379998
20240815T,4868.8,5210,4734,5082.2,942607
20240814T,4690,5036,4503.85,4868.8,None
20240813T,4690,5036,4503.85,4868.8,965031
20240812T,4310,4740,4298.95,4702,895108
20240811T,4245,4324.55,4200.75,4298.95,63639
20240808T,4334,4349,4260,4279.15,45003
20240807T,4270,4348.5,4246.55,4278.65,85444
20240806T,4235,4295,4162.9,4278.3,84581
20240805T,4350,4364.85,4105,4196.7,181234
20240804T,4200,4320,4065,4252.4,253986
20240801T,4323,4399,4225.35,4353.4,152873
20240731T,4441,4509.65,4356.35,4378.2,124025
20240730T,4524.95,4549.15,4405,4441.85,241737
20240729T,4600,4605,4483.05,4524.95,299262
20240728T,4495,4729,4350.05,4594.15,1298342
20240725T,4176.25,4279,4125.4,4249.95,144851
20240724T,4060,4197,4056,4175.15,115670
20240723T,4055,4157.85,4042.55,4101.15,127859
20240722T,3945.6,4080,3726,4051.05,247583
20240721T,3851,4037,3816,3919.1,174024
20240718T,4076.6,4076.6,3880,3901.85,200834
20240717T,4148.05,4148.05,4004,4076.6,214627
20240716T,4069,4297.9,4068.95,4157.1,None
20240715T,4069,4297.9,4068.95,4157.1,350212
20240714T,4160,4175,4025.1,4047.5,158181
20240711T,4144,4210,4083.5,4142.9,131620
20240710T,4138,4220.65,4100.85,4123.4,159953
20240709T,4194,4248,4063,4087.5,289888
20240708T,4370,4434.35,4130,4152.1,318030
20240707T,4340,4574.15,4251.6,4334.2,525104
20240704T,4006,4443.95,4001,4238.8,902780
20240703T,4008,4090,3975,4008,111778
20240702T,3990,4108,3955.05,3986.5,219028
20240701T,3999,4007.95,3947.35,3962.65,116509
20240630T,3872,4024.9,3870,3974.05,110432
20240627T,3915,3985.15,3815,3853.4,144517
20240626T,4000,4040.95,3856.4,3887.2,183131
20240625T,4050,4098,3970,4014.75,149502
20240624T,3924,4072,3831.35,4030.3,244814
20240623T,3888.05,3988.1,3870.05,3887.4,206151
20240620T,3823,3913.7,3798.7,3902.75,186184
20240619T,3888,3888,3746.05,3790,180537
20240618T,3937.5,3937.5,3811,3859.7,352937
20240617T,3830,4030,3810.05,3894.45,442154
20240616T,3760,3815.85,3730.35,3797.85,None
20240613T,3760,3815.85,3730.35,3797.85,319605
20240612T,3681.8,3750,3625,3721.35,232940
20240611T,3653.95,3695.15,3591.05,3636.15,330854
20240610T,3399.3,3775,3397.55,3645.5,1034410
20240609T,3424.9,3448.7,3312.05,3379.3,301196
20240606T,3189,3349.95,3150.65,3334.25,346802
20240605T,2976.75,3230,2976,3123.65,524880
20240604T,2850,3170,2849.95,2900.5,770474
20240603T,3517.5,3529,2814,2836.8,738367
20240602T,3556.3,3573.9,3425.45,3517.5,270254
20240530T,3301,3430,3205.6,3388.8,264497
20240529T,3270.45,3337.9,3239.4,3301.95,129424
